"Campus
Number",School,District,# of Consecutive Years Campus is Academically Unacceptable,Campus 2019 Rating
101912136,CUNNINGHAM EL,HOUSTON ISD,0,C
101912297,DAVILA EL,HOUSTON ISD,0,B
101912137,DE CHAUMES EL,HOUSTON ISD,0,B
101912138,DE ZAVALA EL,HOUSTON ISD,0,A
101912045,DEADY MIDDLE,HOUSTON ISD,1,F
101912383,DEANDA EL,HOUSTON ISD,0,A
101912026,DEBAKEY H S FOR HEALTH PROF,HOUSTON ISD,0,A
101912140,DOGAN EL,HOUSTON ISD,0,C
101912115,DURHAM EL,HOUSTON ISD,0,C
101912144,DURKEE EL,HOUSTON ISD,0,C
101912345,EAST EARLY COLLEGE H S,HOUSTON ISD,0,A
101912301,EASTWOOD ACADEMY,HOUSTON ISD,0,A
101912046,EDISON MIDDLE,HOUSTON ISD,1,F
101912466,EL DAEP,HOUSTON ISD,0,
101912147,ELIOT EL,HOUSTON ISD,0,A
101912475,ELMORE EL,HOUSTON ISD,0,C
101912148,ELROD EL,HOUSTON ISD,0,A
101912149,EMERSON EL,HOUSTON ISD,0,C
101912350,ENERGIZED FOR EXCELLENCE ACADEMY E,HOUSTON ISD,0,B
101912364,ENERGIZED FOR EXCELLENCE ACADEMY E,HOUSTON ISD,0,B
101912342,ENERGIZED FOR EXCELLENCE ACADEMY I,HOUSTON ISD,0,B
101912321,ENERGIZED FOR STEM ACADEMY SOUTHEA,HOUSTON ISD,0,B
101912459,ENERGIZED FOR STEM ACADEMY SOUTHEA,HOUSTON ISD,1,F
101912390,ENERGIZED FOR STEM ACADEMY SOUTHWE,HOUSTON ISD,0,A
101912455,ENERGIZED FOR STEM ACADEMY SOUTHWE,HOUSTON ISD,0,B
101912468,ENERGY INSTITUTE H S,HOUSTON ISD,0,B
101912352,FARIAS EARLY CHILDHOOD CENTER,HOUSTON ISD,0,A
101912152,FIELD EL,HOUSTON ISD,0,A
101912078,FLEMING MIDDLE,HOUSTON ISD,1,F
101912271,FOERSTER EL,HOUSTON ISD,0,C
101912153,FONDREN EL,HOUSTON ISD,0,C
101912072,FONDREN MIDDLE,HOUSTON ISD,0,D
101912047,FONVILLE MIDDLE,HOUSTON ISD,0,D
101912470,FONWOOD EARLY CHILDHOOD CTR,HOUSTON ISD,0,C
101912476,FOREST BROOK MIDDLE,HOUSTON ISD,0,C
101912154,FOSTER EL,HOUSTON ISD,0,A
101912155,FRANKLIN EL,HOUSTON ISD,0,D
101912156,FROST EL,HOUSTON ISD,0,B
101912004,FURR H S,HOUSTON ISD,0,C
101912291,GALLEGOS EL,HOUSTON ISD,0,D
101912283,GARCIA EL,HOUSTON ISD,0,D
101912157,GARDEN OAKS MONTESSORI,HOUSTON ISD,0,C
101912158,GARDEN VILLAS EL,HOUSTON ISD,0,B
101912159,GOLFCREST EL,HOUSTON ISD,0,C
101912162,GREGG EL,HOUSTON ISD,0,C
101912058,GREGORY-LINCOLN ED CTR,HOUSTON ISD,0,D
101912262,GRISSOM EL,HOUSTON ISD,0,C
101912369,GROSS EL,HOUSTON ISD,0,D
101912456,H S AHEAD ACADEMY,HOUSTON ISD,1,F
101912034,H S FOR LAW AND JUSTICE,HOUSTON ISD,0,A
101912131,HALPIN EARLY CHILDHOOD CTR,HOUSTON ISD,0,B
101912049,HAMILTON MIDDLE,HOUSTON ISD,0,B
101912351,HARPER DAEP,HOUSTON ISD,0,Not Rated
101912320,HARRIS CO J J A E P,HOUSTON ISD,0,Not Rated
101912166,HARRIS J R EL,HOUSTON ISD,0,C
101912167,HARRIS R P EL,HOUSTON ISD,0,C
101912051,HARTMAN MIDDLE,HOUSTON ISD,0,C
101912168,HARTSFIELD EL,HOUSTON ISD,0,D
101912169,HARVARD EL,HOUSTON ISD,0,A
101912097,HCC LIFE SKILLS PROGRAM,HOUSTON ISD,0,Not Rated: Minimum Size rules
101912012,HEIGHTS H S,HOUSTON ISD,0,B
101912170,HELMS EL,HOUSTON ISD,0,B
101912171,HENDERSON J EL,HOUSTON ISD,0,B
101912172,HENDERSON N EL,HOUSTON ISD,0,B
101912052,HENRY MIDDLE,HOUSTON ISD,0,D
101912173,HEROD EL,HOUSTON ISD,0,A
101912286,HERRERA EL,HOUSTON ISD,0,A
101912174,HIGHLAND HTS EL,HOUSTON ISD,0,D
101912473,HILLIARD EL,HOUSTON ISD,0,D
101912395,HINES-CALDWELL,HOUSTON ISD,0,B
101912175,HOBBY EL,HOUSTON ISD,0,D
101912053,HOGG MIDDLE,HOUSTON ISD,0,B
101912050,HOLLAND MIDDLE,HOUSTON ISD,0,C
101912178,HORN EL,HOUSTON ISD,0,A
101912348,HOUSTON ACADEMY FOR INTERNATIONAL,HOUSTON ISD,0,A
101912310,HOUSTON MATH SCIENCE AND TECHNOLOG,HOUSTON ISD,0,C
101912300,INSPIRED FOR EXCELLENCE ACADEMY IN,HOUSTON ISD,0,D
101912180,ISAACS EL,HOUSTON ISD,1,F
101912181,JANOWSKI EL,HOUSTON ISD,0,C
101912182,JEFFERSON EL,HOUSTON ISD,0,B
101912006,JONES FUTURES ACADEMY,HOUSTON ISD,0,A
101912185,KASHMERE GARDENS EL,HOUSTON ISD,0,C
101912007,KASHMERE H S,HOUSTON ISD,0,C
101912187,KELSO EL,HOUSTON ISD,0,C
101912188,KENNEDY EL,HOUSTON ISD,0,C
101912389,KETELSEN EL,HOUSTON ISD,0,A
101912079,KEY MIDDLE,HOUSTON ISD,1,F
101912025,KINDER H S FOR PERFORMING AND VISU,HOUSTON ISD,0,A
101912355,KING EARLY CHILDHOOD CTR,HOUSTON ISD,0,B
101912189,KOLTER EL,HOUSTON ISD,0,A
101912008,LAMAR H S,HOUSTON ISD,0,B
101912057,LANIER MIDDLE,HOUSTON ISD,0,A
101912192,LANTRIP EL,HOUSTON ISD,0,C
101912340,LAS AMERICAS,HOUSTON ISD,0,Not Rated: Minimum Size rules
101912357,LAURENZO EARLY CHILDHOOD CTR,HOUSTON ISD,0,C
101912263,LAW EL,HOUSTON ISD,0,C
101912075,LAWSON MIDDLE,HOUSTON ISD,0,C
101912194,LEWIS EL,HOUSTON ISD,0,C
101912324,LIBERTY H S,HOUSTON ISD,0,A
101912195,LOCKHART EL,HOUSTON ISD,0,C
101912059,LONG ACADEMY,HOUSTON ISD,0,B
101912196,LONGFELLOW EL,HOUSTON ISD,0,B
101912197,LOOSCAN EL,HOUSTON ISD,0,B
101912198,LOVE EL,HOUSTON ISD,0,C
101912199,LOVETT EL,HOUSTON ISD,0,B
101912128,LYONS EL,HOUSTON ISD,0,B
101912201,MACGREGOR EL,HOUSTON ISD,0,C
101912203,MADING EL,HOUSTON ISD,0,C
101912010,MADISON H S,HOUSTON ISD,0,C
101912460,MANDARIN IMMERSION MAGNET SCHOOL,HOUSTON ISD,0,A
101912483,MARK WHITE EL,HOUSTON ISD,0,B
101912480,MARSHALL EL,HOUSTON ISD,0,D
101912061,MARSHALL MIDDLE,HOUSTON ISD,0,B
101912289,MARTINEZ C EL,HOUSTON ISD,1,F
101912298,MARTINEZ R EL,HOUSTON ISD,0,C
101912179,MCGOWEN EL,HOUSTON ISD,0,C
101912227,MCNAMARA EL,HOUSTON ISD,0,B
101912062,MCREYNOLDS MIDDLE,HOUSTON ISD,0,D
101912204,MEMORIAL EL,HOUSTON ISD,0,A
101912055,MEYERLAND MIDDLE,HOUSTON ISD,0,B
101912458,MICKEY LELAND COLLEGE PREP ACAD FO,HOUSTON ISD,0,A
101912485,MIDDLE COLLEGE H S AT HCC FRAGA,HOUSTON ISD,0,B
101912484,MIDDLE COLLEGE H S AT HCC GULFTON,HOUSTON ISD,0,B
101912011,MILBY H S,HOUSTON ISD,0,C
101912299,MILNE EL,HOUSTON ISD,0,C
101912354,MISTRAL CENTER FOR EARLY CHILDHOOD,HOUSTON ISD,0,B
101912264,MITCHELL EL,HOUSTON ISD,0,C
101912207,MONTGOMERY EL,HOUSTON ISD,0,C
101912359,MORENO EL,HOUSTON ISD,0,A
101912311,MOUNT CARMEL ACADEMY,HOUSTON ISD,0,B
101912054,NAVARRO MIDDLE,HOUSTON ISD,0,D
101912209,NEFF ECC,HOUSTON ISD,0,C
101912394,NEFF EL,HOUSTON ISD,0,C
101912477,NORTH FOREST H S,HOUSTON ISD,0,D
101912308,NORTH HOUSTON EARLY COLLEGE H S,HOUSTON ISD,0,A
101912210,NORTHLINE EL,HOUSTON ISD,1,F
101912003,NORTHSIDE H S,HOUSTON ISD,0,C
101912211,OAK FOREST EL,HOUSTON ISD,0,A
101912212,OATES EL,HOUSTON ISD,0,C
101912338,ORTIZ MIDDLE,HOUSTON ISD,0,C
101912213,OSBORNE EL,HOUSTON ISD,1,F
101912214,PARK PLACE EL,HOUSTON ISD,0,A
101912215,PARKER EL,HOUSTON ISD,0,A
101912216,PATTERSON EL,HOUSTON ISD,0,B
101912217,PECK EL,HOUSTON ISD,0,C
101912064,PERSHING MIDDLE,HOUSTON ISD,0,B
101912265,PETERSEN EL,HOUSTON ISD,0,C
101912218,PILGRIM ACADEMY,HOUSTON ISD,0,B
101912337,PIN OAK MIDDLE,HOUSTON ISD,0,A
101912219,PINEY POINT EL,HOUSTON ISD,0,C
101912220,PLEASANTVILLE EL,HOUSTON ISD,0,B
101912221,POE EL,HOUSTON ISD,0,B
101912222,PORT HOUSTON EL,HOUSTON ISD,0,C
101912071,PROJECT CHRYSALIS MIDDLE,HOUSTON ISD,0,A
101912223,PUGH EL,HOUSTON ISD,0,B
101912380,R D S P D,HOUSTON ISD,0,Not Rated
101912396,RAY DAILY EL,HOUSTON ISD,0,B
101912382,REAGAN K-8 EDUCATIONAL CTR,HOUSTON ISD,0,C
101912224,RED EL,HOUSTON ISD,0,B
101912060,REVERE MIDDLE,HOUSTON ISD,0,C
101912225,REYNOLDS EL,HOUSTON ISD,0,D
101912080,RICE SCH /LA ESCUELA RICE,HOUSTON ISD,0,B
101912228,RIVER OAKS EL,HOUSTON ISD,0,A
101912229,ROBERTS EL,HOUSTON ISD,0,A
101912186,ROBINSON EL,HOUSTON ISD,1,F
101912113,RODERICK R PAIGE EL,HOUSTON ISD,0,B
101912372,RODRIGUEZ EL,HOUSTON ISD,0,B
101912231,ROOSEVELT EL,HOUSTON ISD,0,B
101912232,ROSS EL,HOUSTON ISD,0,C
101912233,RUCKER EL,HOUSTON ISD,1,F
101912281,SANCHEZ EL,HOUSTON ISD,0,A
101912237,SCARBOROUGH EL,HOUSTON ISD,0,C
101912024,SCARBOROUGH H S,HOUSTON ISD,0,C
101912353,SCHOOL AT ST GEORGE PLACE,HOUSTON ISD,0,B
101912269,SCROGGINS EL,HOUSTON ISD,0,C
101912402,SECONDARY DAEP,HOUSTON ISD,0,Not Rated
101912373,SEGUIN EL,HOUSTON ISD,1,F
101912276,SHADOWBRIAR EL,HOUSTON ISD,0,D
101912479,SHADYDALE EL,HOUSTON ISD,0,C
101912023,SHARPSTOWN H S,HOUSTON ISD,0,C
101912081,SHARPSTOWN INTERNATIONAL SCHOOL,HOUSTON ISD,0,A
101912239,SHEARN EL,HOUSTON ISD,0,C
101912240,SHERMAN EL,HOUSTON ISD,0,C
101912241,SINCLAIR EL,HOUSTON ISD,0,B
101912242,SMITH EL,HOUSTON ISD,1,F
101912069,SOAR CTR,HOUSTON ISD,0,Not Rated
101912486,SOUTH EARLY COLLEGE H S,HOUSTON ISD,0,A
101912244,SOUTHMAYD EL,HOUSTON ISD,0,B
101912014,STERLING H S,HOUSTON ISD,0,C
101912245,STEVENS EL,HOUSTON ISD,0,D
